level,chapter,category,type,targetCounts,distractors,timeLimitSec,starBase,star2,star3,starUnlockReq,taskIds
43,5,instrument,standard,2|3|2,40,89,797.86,438.8,598.4,,metal_wearables|vegetable|flying
44,5,flying,night,3|2|3,40,90,955.20,525.4,716.4,,luminous_fliers|container|weapon
45,5,sweet_food,standard,3|3|2,40,96,1020.00,561.0,765.0,,fruit_or_vegetable|written|animal
46,5,animal,mist,2|3|3,42,88,933.60,513.5,700.2,,animal_or_vehicle|ceramic|plant
47,5,container,standard,3|2|3,41,96,1020.00,561.0,765.0,,food_not_sweet|glowing|vehicle
48,5,sharp,standard,3|3|2,41,96,1020.00,561.0,765.0,,sharp_not_weapon|plant|animal
49,5,vehicle,standard,2|3|3,41,96,1020.00,561.0,765.0,,bridge_not_wood|animal|instrument
50,5,written,boss,3|3|4,43,99,1406.10,773.4,1054.6,,patterned|animal|fruit
51,6,sharp,standard,3|3|2,41,96,1020.00,561.0,765.0,,sweet_plants|instrument|animal
52,6,vehicle,cluster,2|3|3,42,91,966.00,531.3,724.5,,wooden_bridges|fruit|wearable
53,6,written,standard,3|2|3,41,96,1020.00,561.0,765.0,,metal_wearables|vegetable|flying
54,6,glowing,night,3|3|3,41,97,1199.64,659.8,899.7,,luminous_fliers|container|weapon
55,6,plant,standard,3|3|3,41,103,1275.24,701.4,956.4,,fruit_or_vegetable|written|animal
56,6,instrument,mist,3|3|3,44,95,1174.44,645.9,880.8,,animal_or_vehicle|ceramic|plant
57,6,flying,standard,3|3|3,42,103,1275.24,701.4,956.4,,food_not_sweet|glowing|vehicle
58,6,sweet_food,night,3|3|3,42,97,1199.64,659.8,899.7,,sharp_not_weapon|plant|animal
59,6,animal,standard,3|3|3,42,103,1275.24,701.4,956.4,,bridge_not_wood|animal|instrument
60,6,container,boss,4|4|3,44,105,1685.00,926.8,1263.8,,patterned|animal|fruit
61,7,sweet_food,standard,3|3|3,42,103,1275.24,701.4,956.4,80,sweet_plants|instrument|animal
62,7,animal,mist,3|3|3,44,95,1174.44,645.9,880.8,,wooden_bridges|fruit|wearable
63,7,container,night,3|3|3,42,97,1199.64,659.8,899.7,,metal_wearables|vegetable|flying
64,7,sharp,standard,3|4|3,42,110,1565.60,861.1,1174.2,,luminous_fliers|container|weapon
65,7,vehicle,cluster,3|3|4,43,104,1478.60,813.2,1108.9,,fruit_or_vegetable|written|animal
66,7,written,speed,4|3|3,42,72,1014.60,558.0,761.0,,animal_or_vehicle|ceramic|plant
67,7,glowing,night,3|4|3,43,103,1464.10,805.3,1098.1,,food_not_sweet|glowing|vehicle
68,7,plant,mist,3|3|4,45,101,1435.10,789.3,1076.3,,sharp_not_weapon|plant|animal
69,7,instrument,standard,3|4|3,43,110,1565.60,861.1,1174.2,,bridge_not_wood|animal|instrument
70,7,flying,boss,4|4|4,45,112,2004.24,1102.3,1503.2,,patterned|animal|fruit
71,8,plant,standard,3|3|4,43,110,1565.60,861.1,1174.2,,sweet_plants|instrument|animal
72,8,instrument,mist,4|3|3,45,101,1435.10,789.3,1076.3,,wooden_bridges|fruit|wearable
73,8,flying,night,3|4|3,43,103,1464.10,805.3,1098.1,,metal_wearables|vegetable|flying
74,8,sweet_food,standard,3|4|4,43,117,1881.80,1035.0,1411.3,,luminous_fliers|container|weapon
75,8,animal,cluster,4|4|3,44,111,1783.40,980.9,1337.6,,fruit_or_vegetable|written|animal
76,8,container,speed,3|4|4,44,76,1209.40,665.2,907.1,,animal_or_vehicle|ceramic|plant
77,8,sharp,night,4|3|4,44,110,1767.00,971.9,1325.2,,food_not_sweet|glowing|vehicle
78,8,vehicle,mist,4|4|3,46,108,1734.20,953.8,1300.7,,sharp_not_weapon|plant|animal
79,8,written,standard,3|4|4,44,117,1881.80,1035.0,1411.3,,bridge_not_wood|animal|instrument
80,8,glowing,boss,4|4|4,46,112,2004.24,1102.3,1503.2,,patterned|animal|fruit
81,9,vehicle,standard,4|4|3,44,117,1881.80,1035.0,1411.3,120,sweet_plants|instrument|animal
82,9,written,cluster,3|4|4,45,111,1783.40,980.9,1337.6,,wooden_bridges|fruit|wearable
83,9,glowing,night,4|3|4,44,110,1767.00,971.9,1325.2,,metal_wearables|vegetable|flying
84,9,plant,standard,3|5|4,44,124,2223.84,1223.1,1667.9,,luminous_fliers|container|weapon
85,9,instrument,speed,4|4|4,44,81,1436.94,790.3,1077.7,,fruit_or_vegetable|written|animal
86,9,flying,mist,4|4|4,46,114,2040.84,1122.5,1530.6,,animal_or_vehicle|ceramic|plant
87,9,sweet_food,night,4|4|4,45,117,2095.74,1152.7,1571.8,,food_not_sweet|glowing|vehicle
88,9,animal,cluster,4|4|4,46,118,2114.04,1162.7,1585.5,,sharp_not_weapon|plant|animal
89,9,container,standard,3|4|5,45,124,2223.84,1223.1,1667.9,,bridge_not_wood|animal|instrument
90,9,sharp,boss,4|4|4,47,112,2004.24,1102.3,1503.2,,patterned|animal|fruit
91,10,animal,standard,4|4|4,45,124,2223.84,1223.1,1667.9,,sweet_plants|instrument|animal
92,10,container,cluster,4|4|4,46,118,2114.04,1162.7,1585.5,,wooden_bridges|fruit|wearable
93,10,sharp,night,4|4|4,45,117,2095.74,1152.7,1571.8,,metal_wearables|vegetable|flying
94,10,vehicle,standard,3|5|4,45,124,2223.84,1223.1,1667.9,,luminous_fliers|container|weapon
95,10,written,speed,4|4|4,45,81,1436.94,790.3,1077.7,,fruit_or_vegetable|written|animal
96,10,glowing,standard,4|4|4,46,124,2223.84,1223.1,1667.9,,animal_or_vehicle|ceramic|plant
97,10,plant,mist,4|4|4,48,114,2040.84,1122.5,1530.6,,food_not_sweet|glowing|vehicle
98,10,instrument,cluster,4|4|4,47,118,2114.04,1162.7,1585.5,,sharp_not_weapon|plant|animal
99,10,flying,standard,3|5|4,46,124,2223.84,1223.1,1667.9,,bridge_not_wood|animal|instrument
100,10,sweet_food,boss,4|4|4,48,112,2004.24,1102.3,1503.2,,patterned|animal|fruit
