item_id,文件,主分类,全部分类,来源节点(画布),宽,高,缺失
"item_063","items/item_063.png","尖锐的","尖锐的","容器 778(4:01844)[尖锐的]","500","500",""
"item_064","items/item_064.png","尖锐的","尖锐的","容器 740(4:01744)[尖锐的]","500","500",""
"item_065","items/item_065.png","尖锐的","尖锐的;穿戴的服饰/配饰","容器 737(4:01737)[尖锐的];容器 900(8:4861)[穿戴的服饰/配饰]","500","500",""
"item_066","items/item_066.png","甜的食物","甜的食物;食物","容器 729(4:01716)[甜的食物];容器 833(8:110)[食物]","500","500",""
"item_067","items/item_067.png","甜的食物","甜的食物;植物;食物","容器 706(4:01651)[甜的食物];容器 790(4:01872)[植物];容器 822(8:088)[食物]","500","500",""
"item_068","items/item_068.png","甜的食物","甜的食物;食物;水果","容器 770(4:01819)[甜的食物];容器 746(4:01760)[甜的食物];容器 823(8:090)[食物];容器 834(8:112)[食物];容器 841(8:343)[水果]","500","500",""
"item_069","items/item_069.png","甜的食物","甜的食物;食物","容器 732(4:01723)[甜的食物];容器 827(8:098)[食物]","500","500",""
"item_070","items/item_070.png","甜的食物","甜的食物","容器 707(4:01653)[甜的食物]","500","500",""
"item_071","items/item_071.png","甜的食物","甜的食物;食物;水果","容器 791(4:01874)[甜的食物];容器 718(4:01687)[甜的食物];容器 824(8:092)[食物];容器 832(8:108)[食物];容器 839(8:339)[水果]","500","500",""
"item_072","items/item_072.png","甜的食物","甜的食物;植物;食物;水果","容器 717(4:01685)[甜的食物];容器 710(4:01660)[甜的食物];容器 768(4:01815)[植物];容器 831(8:106)[食物];容器 826(8:096)[食物];容器 840(8:341)[水果]","500","500",""
"item_073","items/item_073.png","甜的食物","甜的食物","容器 801(4:01896)[甜的食物]","500","500",""
"item_074","items/item_074.png","甜的食物","甜的食物;水果","容器 866(8:3493)[甜的食物];容器 845(8:352)[水果]","500","500",""
"item_075","items/item_075.png","甜的食物","甜的食物;食物","容器 862(8:3484)[甜的食物];容器 871(8:3505)[食物]","500","500",""
"item_076","items/item_076.png","甜的食物","甜的食物;食物;水果","容器 857(8:3474)[甜的食物];容器 870(8:3502)[食物];容器 847(8:918)[水果]","500","500",""
"item_077","items/item_077.png","甜的食物","甜的食物;食物;水果","容器 856(8:3472)[甜的食物];容器 869(8:3500)[食物];容器 848(8:920)[水果]","500","500",""
"item_078","items/item_078.png","甜的食物","甜的食物","容器 859(8:3478)[甜的食物]","500","500",""
"item_079","items/item_079.png","甜的食物","甜的食物;食物;水果","容器 860(8:3480)[甜的食物];容器 873(8:3509)[食物];容器 850(8:924)[水果]","500","500",""
"item_080","items/item_080.png","甜的食物","甜的食物","容器 864(8:3489)[甜的食物]","500","500",""
"item_081","items/item_081.png","甜的食物","甜的食物;食物;水果","容器 865(8:3491)[甜的食物];容器 872(8:3507)[食物];容器 852(8:928)[水果]","500","500",""
"item_082","items/item_082.png","甜的食物","甜的食物;食物;水果","容器 863(8:3487)[甜的食物];容器 868(8:3498)[食物];容器 854(8:1058)[水果]","500","500",""
"item_083","items/item_083.png","甜的食物","甜的食物;食物;水果","容器 858(8:3476)[甜的食物];容器 867(8:3496)[食物];容器 855(8:1060)[水果]","500","500",""
"item_084","items/item_084.png","植物","植物","容器 784(4:01858)[植物]","500","500",""
"item_085","items/item_085.png","植物","植物;食物;蔬菜","容器 704(4:01647)[植物];容器 836(8:145)[食物];容器 843(8:347)[蔬菜]","500","500",""
"item_086","items/item_086.png","植物","植物","容器 804(4:01907)[植物]","500","500",""
"item_087","items/item_087.png","植物","植物","容器 734(4:01731)[植物]","500","500",""
"item_088","items/item_088.png","植物","植物","容器 759(4:01796)[植物]","500","500",""
"item_089","items/item_089.png","植物","植物;食物;蔬菜","容器 777(4:01842)[植物];容器 837(8:147)[食物];容器 844(8:349)[蔬菜]","500","500",""
"item_090","items/item_090.png","植物","植物","容器 775(4:01838)[植物]","500","500",""
"item_091","items/item_091.png","植物","植物","容器 838(8:250)[植物]","500","500",""
"item_092","items/item_092.png","植物","植物;食物;蔬菜","容器 877(8:3518)[植物];容器 891(8:4756)[食物];容器 885(8:4744)[蔬菜]","500","500",""
"item_093","items/item_093.png","植物","植物;食物;蔬菜","容器 878(8:3842)[植物];容器 894(8:4762)[食物];容器 888(8:4750)[蔬菜]","500","500",""
"item_094","items/item_094.png","植物","植物","容器 879(8:3844)[植物]","500","500",""
"item_095","items/item_095.png","植物","植物;食物;蔬菜","容器 880(8:3846)[植物];容器 889(8:4752)[食物];容器 883(8:4740)[蔬菜]","500","500",""
"item_096","items/item_096.png","植物","植物;食物;蔬菜","容器 881(8:3848)[植物];容器 890(8:4754)[食物];容器 884(8:4742)[蔬菜]","500","500",""
"item_097","items/item_097.png","植物","植物;食物","容器 882(8:4318)[植物];容器 892(8:4758)[食物]","500","500",""
"item_098","items/item_098.png","坐骑/交通工具","坐骑/交通工具;动物","容器 723(4:01699)[坐骑/交通工具];容器 708(4:01655)[动物]","500","500",""
"item_099","items/item_099.png","坐骑/交通工具","坐骑/交通工具","容器 787(4:01865)[坐骑/交通工具]","500","500",""
"item_100","items/item_100.png","坐骑/交通工具","坐骑/交通工具","容器 769(4:01817)[坐骑/交通工具]","500","500",""
"item_101","items/item_101.png","坐骑/交通工具","坐骑/交通工具","容器 711(4:01662)[坐骑/交通工具]","500","500",""
"item_102","items/item_102.png","坐骑/交通工具","坐骑/交通工具","容器 795(4:01883)[坐骑/交通工具]","500","500",""
"item_103","items/item_103.png","坐骑/交通工具","坐骑/交通工具;动物","容器 739(4:01742)[坐骑/交通工具];容器 781(4:01850)[动物]","500","500",""
"item_104","items/item_104.png","坐骑/交通工具","坐骑/交通工具;动物","容器 728(4:01714)[坐骑/交通工具];容器 757(4:01792)[动物]","500","500",""
"item_105","items/item_105.png","动物","动物","容器 703(4:01645)[动物]","500","500",""
"item_106","items/item_106.png","动物","动物","容器 750(4:01777)[动物]","500","500",""
"item_107","items/item_107.png","动物","动物","容器 797(4:01888)[动物]","500","500",""
"item_108","items/item_108.png","动物","动物","容器 798(4:01890)[动物]","500","500",""
"item_109","items/item_109.png","动物","动物","容器 773(4:01833)[动物]","500","500",""
"item_110","items/item_110.png","动物","动物","容器 714(4:01669)[动物]","500","500",""
"item_111","items/item_111.png","动物","动物","容器 733(4:01725)[动物]","500","500",""
"item_112","items/item_112.png","有火焰","有火焰","容器 821(8:030)[有火焰]","500","500",""
"item_113","items/item_113.png","食物","食物","容器 830(8:104)[食物]","500","500",""
"item_114","items/item_114.png","食物","食物","容器 829(8:102)[食物]","500","500",""
"item_115","","食物","食物","图片(8:3504)[食物]","519","563","是"
"item_116","items/item_116.png","食物","食物;水果","容器 875(8:3513)[食物];容器 849(8:922)[水果]","500","500",""
"item_117","items/item_117.png","食物","食物;水果","容器 874(8:3511)[食物];容器 851(8:926)[水果]","500","500",""
"item_118","items/item_118.png","食物","食物;水果","容器 876(8:3515)[食物];容器 853(8:1056)[水果]","500","500",""
"item_119","items/item_119.png","食物","食物;蔬菜","容器 893(8:4760)[食物];容器 887(8:4748)[蔬菜]","500","500",""
"item_120","items/item_120.png","水果","水果","容器 842(8:345)[水果]","500","500",""
"item_121","items/item_121.png","水果","水果","容器 846(8:916)[水果]","500","500",""
"item_122","items/item_122.png","蔬菜","蔬菜","容器 886(8:4746)[蔬菜]","500","500",""
"item_123","items/item_123.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 895(8:4764)[穿戴的服饰/配饰]","500","500",""
"item_124","items/item_124.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 897(8:4770)[穿戴的服饰/配饰]","500","500",""
"item_125","items/item_125.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 898(8:4772)[穿戴的服饰/配饰]","500","500",""
"item_126","items/item_126.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 896(8:4768)[穿戴的服饰/配饰]","500","500",""
"item_127","items/item_127.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 899(8:4774)[穿戴的服饰/配饰]","500","500",""
"item_128","items/item_128.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 902(8:4868)[穿戴的服饰/配饰]","500","500",""
"item_129","items/item_129.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 903(8:5118)[穿戴的服饰/配饰]","500","500",""
"item_130","items/item_130.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 904(8:5120)[穿戴的服饰/配饰]","500","500",""
"item_131","items/item_131.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 905(8:5122)[穿戴的服饰/配饰]","500","500",""
"item_132","items/item_132.png","穿戴的服饰/配饰","穿戴的服饰/配饰","容器 906(8:5124)[穿戴的服饰/配饰]","500","500",""
"item_133","items/item_133.png","桥","桥","容器 908(8:6093)[桥]","500","500",""
"item_134","items/item_134.png","桥","桥","容器 909(8:6569)[桥]","500","500",""
"item_135","items/item_135.png","桥","桥","容器 910(8:6571)[桥]","500","500",""
"item_136","items/item_136.png","桥","桥","容器 911(8:6573)[桥]","500","500",""
"item_137","items/item_137.png","桥","桥","容器 912(8:6575)[桥]","500","500",""
"item_138","items/item_138.png","桥","桥","容器 913(8:6577)[桥]","500","500",""
"item_139","items/item_139.png","桥","桥","容器 914(8:6579)[桥]","500","500",""
"item_140","items/item_140.png","桥","桥","容器 915(8:6581)[桥]","500","500",""
"item_141","items/item_141.png","桥","桥","容器 916(8:6583)[桥]","500","500",""
